,0
0,6.617816
1,8.045932
2,7.114656
3,7.070959
4,6.408877
5,7.790759
6,5.958143
7,6.1876945
8,7.8375607
9,8.525393
10,6.220956
11,7.125294
12,6.917346
13,8.132856
14,5.3218
15,4.5199137
16,3.3786063
17,4.6213083
18,1.5451477
19,5.138113
20,3.6606154
21,4.589472
22,5.4809527
23,5.381485
24,5.341793
25,2.408227
26,1.6947281
27,2.2644336
28,8.052143
29,7.089006
30,1.2969946
31,6.950483
32,9.412091
33,8.701067
34,2.5908587
35,4.3685246
36,7.3046913
37,5.7826996
38,11.959967
39,6.9558244
40,7.6588483
41,7.5595818
42,5.2611275
43,10.303156
44,7.7021546
45,8.702272
46,4.3763814
47,3.789306
48,6.718219
49,2.8118804
50,2.9867332
51,3.7563374
52,4.2410865
53,4.608578
54,4.39514
55,5.3117733
56,2.055376
57,3.0817554
58,2.9409208
59,1.3018793
60,1.7367549
61,0.8178479
62,0.7797303
63,5.6342683
64,0.96059746
65,1.2151346
66,2.1222365
67,0.8225491
68,0.76237077
69,2.3447568
70,11.6590605
71,9.935924
72,23.303112
73,9.853304
74,9.695644
75,10.484924
76,9.848481
77,5.29562
78,6.1221457
79,6.950765
80,8.913998
81,11.136642
82,11.02613
83,10.110224
84,14.040897
85,13.478087
86,9.463752
87,7.9847484
88,9.194236
89,11.7963295
90,4.8794365
91,2.799222
92,6.5027924
93,8.411868
94,7.446999
95,8.407538
96,8.351802
97,8.243639
98,12.361376
99,6.4870296
100,7.912293
101,5.310577
102,8.436935
103,6.321572
104,7.0101075
105,3.437679
106,7.0932093
107,5.45261
108,3.3511255
109,4.2623634
110,4.613688
111,8.254641
112,4.6676846
113,18.905373
114,10.975592
115,21.946423
116,10.75891
117,22.397282
118,8.293101
119,8.900525
120,9.020501
121,9.758398
122,8.979748
123,6.7711277
124,2.6547747
125,6.562755
126,8.478484
127,9.434848
128,6.189844
129,8.438094
130,8.337304
131,7.9612074
132,5.96734
133,5.4302998
134,16.550547
135,8.595306
136,7.7110496
137,7.892878
138,7.0193048
139,6.798434
140,5.851074
141,12.937732
142,9.981951
143,7.904199
144,8.46702
145,6.690409
146,13.058009
147,8.756538
148,9.242011
149,5.9936037
150,6.074583
151,6.666734
152,6.835996
153,4.757739
154,4.082666
155,3.9547126
156,5.098493
157,7.775868
158,6.437509
159,8.2734785
160,5.7868586
161,4.7056584
162,4.1962047
163,3.7811282
164,5.4792047
165,4.1044936
166,3.8484504
167,7.9550047
168,5.045304
169,4.539509
170,3.9081295
171,5.375975
172,3.9662135
173,4.469368
174,7.5780296
175,12.957671
176,11.890884
177,12.775582
178,12.184746
179,11.28727
180,13.838135
181,14.909498
182,15.794582
183,15.442729
184,10.561429
185,13.093763
186,16.90163
187,11.717363
188,23.413088
189,12.529835
190,8.107292
191,13.137757
192,12.634576
193,5.2417865
194,6.2816467
195,5.451821
196,6.097064
197,5.072004
198,4.8330927
199,4.4253845
200,4.9043
201,5.4922066
202,5.2585363
203,5.714972
204,9.93886
205,3.6387522
206,6.263986
207,8.151137
208,7.477274
209,8.037083
210,12.538525
211,5.078477
212,8.924162
213,8.542909
214,7.539046
215,6.8539104
216,5.3143377
217,7.187805
218,12.210642
219,9.821223
220,9.727805
221,12.234507
222,8.971913
223,8.67445
224,10.3441515
225,14.20076
226,14.140599
227,8.931523
228,10.924332
229,15.288707
230,12.187444
231,11.832441
232,8.76713
233,9.094137
234,12.254982
235,11.096747
236,12.103418
237,7.8885794
238,10.916353
239,8.922038
240,10.66469
241,5.021268
242,12.82993
243,11.209321
244,8.7615385
245,17.110304
246,19.08027
247,10.075866
248,13.145461
249,11.388652
250,10.779986
251,8.383821
252,10.710052
253,9.00686
254,9.884236
255,6.3836737
256,3.3966622
257,6.235859
258,2.9440622
259,3.546153
260,8.114478
261,11.353072
262,9.23361
263,6.7931104
264,5.8214135
265,7.422248
266,6.561836
267,8.648696
268,8.173406
269,7.6217537
270,9.463942
271,7.4653215
272,8.188531
273,5.951428
274,12.060115
275,9.91744
276,13.269507
277,11.482679
278,12.532449
279,3.9934723
280,11.550355
281,12.66665
282,9.083789
283,12.729455
284,11.265418
285,11.36562
286,7.8651466
287,6.5043592
288,11.695464
289,13.03701
290,13.983487
291,16.399189
292,9.931422
293,8.252158
294,6.5553336
295,10.222656
296,4.744089
297,8.971181
298,9.78158
299,6.307338
300,12.1821375
301,14.611879
302,6.8692145
303,17.975534
304,11.276146
305,11.929927
306,11.325962
307,12.965327
308,21.737316
309,5.969287
310,3.8439455
311,9.182209
312,4.508458
313,4.5576615
314,10.764238
315,8.346209
316,13.721522
317,6.067954
318,3.3878307
319,5.281086
320,8.798712
321,9.145405
322,3.6402206
323,4.756958
324,6.4494348
325,7.751284
326,5.944872
327,5.854824
328,9.322656
329,5.0987096
330,6.4166923
331,6.204378
332,3.1016061
333,4502.049
334,14.931376
335,7.892032
336,6.621186
337,16.788662
338,9.423676
339,7.7908635
340,2.6485984
341,6.6404796
342,8.451858
343,7.8107367
344,7.4348297
345,13.347971
346,7.9792404
347,52.61057
348,11.957081
349,7.0248322
350,15.352623
351,13.155822
352,13.894966
353,6.883257
354,7.2744665
355,9.394102
356,13.290531
357,9.217529
358,4.825861
359,5.118457
360,4.1513925
361,8.756587
362,3.6275475
363,7.730332
364,4.492943
365,8.537614
366,9.576439
367,6.551152
368,6.636506
369,8.912928
370,2.9843452
371,4.2721148
372,9.143344
373,8.858287
374,7.0706763
375,10.281416
376,4.660242
377,10.864068
378,5.573996
379,8.6074505
380,7.627892
381,7.442596
382,4.3834667
383,6.43647
384,4.6241374
385,11.305139
386,5.389295
387,8.708554
388,9.885147
389,10.6400175
390,8.135549
391,3.68326
392,5.6560555
393,6.54982
394,4.8474817
395,3.3824408
396,4.594276
397,3.2094738
398,7.4838676
399,5.875243
400,4.2970505
401,7.652449
402,7.366544
403,4.3643727
404,4.168505
405,4.222638
406,2.2395191
407,3.3091388
408,9.509154
409,4.07347
410,8.246824
411,4.8675513
412,7.142909
413,4.5881433
414,3.7866628
415,12.668432
416,8.936608
417,7.6699724
418,7.678675
419,5.3362365
420,10.268349
421,4.3866878
422,3.6031766
423,5.5610604
424,7.780313
425,9.473606
426,11.427325
427,3.5215194
428,5.3853903
429,11.547569
430,5.6966596
431,8.728873
432,9.279112
433,5.401305
434,4.9604983
435,4.77406
436,7.87171
437,5.3593535
438,5.6709533
439,5.023307
440,7.108222
441,4.8723125
442,6.3540983
443,5.533517
444,7.7538047
445,7.937423
446,6.648851
447,6.773342
448,8.85455
449,5.4745355
450,4.4952025
451,3.149304
452,6.398138
453,4.827228
454,3.8932695
455,5.2618833
456,8.89304
457,6.4981303
458,9.312582
459,5.8979335
460,17.867176
461,4.6233706
462,10.704558
463,7.7163343
464,4.3045654
465,7.3272066
466,9.470347
467,5.46384
468,5.515886
469,5.8941994
470,7.094709
471,9.454605
472,9.729017
473,9.324041
474,5.471666
475,6.479741
476,6.2114773
477,4.9931912
478,12.549824
479,6.562005
480,3.5647433
481,9.035698
482,7.2725887
483,6.6679883
484,6.8153977
485,9.307828
486,4.5923405
487,5.0545363
488,1.9198072
489,5.914593
490,8.470532
491,7.455093
492,4.9185915
493,7.0347853
494,5.782644
495,7.6753693
496,13.178547
497,7.111188
498,3.3422482
499,8.661737
500,7.732334
501,4.195633
502,8.295033
503,5.83169
504,2.139472
505,4.5861077
506,4.856613
507,5.08229
508,5.3274503
509,4.71925
510,5.5866275
511,5.1228156
512,9.366542
513,7.93829
514,6.5689983
515,9.46203
516,7.1571617
517,7.8207455
518,8.496483
519,11.308336
520,10.5834465
521,10.202538
522,5.075133
523,9.713861
524,7.312066
525,3.8776736
526,3.632173
527,4.12593
528,7.2060604
529,4.9577484
530,6.5383534
531,3.7211971
532,4.6230764
533,5.783743
534,4.192576
535,4.904638
536,3.7753005
537,10.49951
538,6.384656
539,8.522009
540,4.0720134
541,8.462891
542,4.1711206
543,6.0619836
544,1.4674381
545,6.6134343
546,4.7602134
547,8.544151
548,4.860762
549,6.7683434
550,5.2983236
551,4.174305
552,5.181724
553,2.254617
554,13.428558
555,6.0497007
556,3.1532383
557,4.3400974
558,10.305315
559,5.181166
560,5.0295362
561,5.4950924
562,5.6462555
563,9.562836
564,7.1627
565,5.497436
566,5.2582335
567,5.7149057
568,8.014689
569,8.5849285
570,5.311453
571,7.858409
572,6.218719
573,6.6119623
574,5.075721
575,3.8794847
576,6.576406
577,5.411458
578,11.612297
579,3.5102212
580,7.2989373
581,6.1078997
582,8.439971
